answer,clue 1,clue 2,clue 3,clue 4,clue 5
THROAT CHOP,Dark physical move,Gen VII Dark move,80-power move,,
THROAT SPRAY,Held battle item,,,,
THROH,Judo Pokemon,Gen V Fighting species,Humanshape egg-group species,,
THRUST,critical-hit ability,flinch-causing ability,,,
THUNDERBOLT,Electric special move,paralyzing move,Gen I Electric move,90-power move,
THUNDER CAGE,Electric special move,Gen VIII Electric move,80-power move,,
THUNDERCLAP,Electric special move,Gen IX Electric move,70-power move,priority move,
THUNDER FANG,Electric physical move,paralyzing move,Gen IV Electric move,65-power move,flinch-causing move
THUNDER PUNCH,Electric physical move,paralyzing move,Gen I Electric move,75-power move,
THUNDER SHOCK,Electric special move,paralyzing move,Gen I Electric move,40-power move,
THUNDER STONE,Evolves Pikachu into Raichu,Bug-Catching Contest ball,Pikachu evolution item,National Park contest ball,Event-only distribution item
THUNDER WAVE,Electric status move,paralyzing move,Gen I Electric move,,
THUNDURUS,Legendary Pokemon,Gen V Bolt Strike Pokemon,No-Eggs egg-group species,,
THWACKEY,Beat Pokemon,Gen VIII Beat Pokemon,Gen VIII Grass species,Evolves from Grookey,Ground egg-group species
TICKLE,Normal status move,Gen III Normal move,debuffing move,,
TIDAL BELL,Unlocks progression content,Tradable exchange item,Progress-gating key item,Exchangeable collectible,Story-progress key item
TIDEWATER DAM,Hisui landmark,Located in The Southern Region Of The Obsidian Fieldlands Of Hisui,,,
TIDY UP,Normal status move,Gen IX Normal move,0-power move,boosting move,
TIMBURR,Muscular Pokemon,Gen V Fighting species,Humanshape egg-group species,,
TIMELESS WOODS,Located in Kitakami,Paldea forest,Paldea landmark,Forest in Paldea,
TIMER BALL,Poor on most other targets,Special Poke Ball,,,
TING LU,Legendary Pokemon,Gen IX Ruinous Pokemon,No-Eggs egg-group species,,
TINKATINK,Metalsmith Pokemon,Gen IX Fairy/Steel species,Fairy egg-group species,,
TINKATON,Hammer Pokemon,Gen IX Fairy/Steel species,Evolves from Tinkatuff,Fairy egg-group species,
TINKATUFF,Hammer Pokemon,Gen IX Fairy/Steel species,Evolves from Tinkatink,Fairy egg-group species,
TINTED LENS,Gen IV ability,,,,
TINY MUSHROOM,Safari Zone catcher,Great Marsh capture tool,Berry-blending ingredient,Tradable exchange item,Exchangeable collectible
TIRTOUGA,Prototurtle Pokemon,Water1 egg-group species,,,
TM CASE,Adventure utility item,,,,
TMV PASS,Story or event key item,Unlocking key item,Adventure utility item,,
TOEDSCOOL,Woodear Pokemon,Gen IX Ground/Grass species,Plant egg-group species,,
TOEDSCRUEL,Woodear Pokemon,Gen IX Ground/Grass species,Evolves from Toedscool,Plant egg-group species,
TOGEDEMARU,Roly-Poly Pokemon,Gen VII Electric/Steel species,Ground egg-group species,,
TOGEKISS,Jubilee Pokemon,Gen IV Fairy/Flying species,Evolves from Togetic,Flying egg-group species,
TOGEPI,Spike Ball Pokemon,No-Eggs egg-group species,,,
TOGETIC,Happiness Pokemon,Gen II Fairy/Flying species,Evolves from Togepi,Flying egg-group species,
TOHJO FALLS,Johto landmark,,,,
TOMBOLO WALK,Hisui landmark,Located in The Southeastern Waters Of The Cobalt Coastlands Of Hisui,,,
TOPSY TURVY,Dark status move,Gen VI Dark move,,,
TORCHIC,Chick Pokemon,Gen III Fire species,Ground egg-group species,,
TORCH SONG,Fire special move,Gen IX Fire move,80-power move,boosting move,
TORKOAL,Coal Pokemon,Gen III Fire species,Ground egg-group species,,
TORMENT,Dark status move,Gen III Dark move,,,
TORNADUS,Legendary Pokemon,Gen V Cyclone Pokemon,No-Eggs egg-group species,,
TORRACAT,Fire Cat Pokemon,Gen VII Fire species,Evolves from Litten,Ground egg-group species,
TORRENT,Boosts Water-type moves at low HP,Low-HP Water boost,Water-power when weakened,,
TORTERRA,Continent Pokemon,Gen IV Grass/Ground species,Evolves from Grotle,Monster egg-group species,
TOTODILE,Big Jaw Pokemon,Gen II Water species,Monster egg-group species,,
TOUCANNON,Cannon Pokemon,Gen VII Normal/Flying species,Evolves from Trumbeak,Flying egg-group species,
TOUGH CLAWS,Gen VI ability,draining ability,,,
TOWER OF WATERS,Galar landmark,,,,
TOWN MAP,Safari Zone catcher,Great Marsh capture tool,Unlocks progression content,Tradable exchange item,Progress-gating key item
TOXAPEX,Brutal Star Pokemon,Gen VII Poison/Water species,Evolves from Mareanie,Water1 egg-group species,
TOXEL,Baby Pokemon,Gen VIII Baby Pokemon,No-Eggs egg-group species,,
TOXIC,Poison status move,Gen I Poison move,poisoning move,,
TOXIC BOOST,Zangoose's signature Ability,poisoning trait,,,
TOXIC CHAIN,The Loyal Three's signature Ability,poisoning trait,,,
TOXIC DEBRIS,Glimmet And Glimmora's signature Ability,poisoning trait,,,
TOXIC ORB,Species-linked power item,Signature battle item,,,
TOXIC PLATE,The Holder'S Poison-Type Moves By Power boost item,Boosts Poison moves for The Holder',Safari Zone catcher,Great Marsh capture tool,Poison-move booster
TOXICROAK,Toxic Mouth Pokemon,Gen IV Poison/Fighting species,Evolves from Croagunk,Humanshape egg-group species,
TOXIC SPIKES,Poison status move,Gen IV Poison move,poisoning move,switching move,
TOXIC THREAD,Poison status move,Gen VII Poison move,debuffing move,poisoning move,
TOXTRICITY,Punk Pokemon,Gen VIII Punk Pokemon,Gen VIII Electric/Poison species,Evolves from Toxel,Humanshape egg-group species
TRACE,Gen III ability,,,,
TRAILBLAZE,Grass physical move,Gen IX Grass move,50-power move,boosting move,
TRAINER TOWER,Island location,Kanto tower,Tower in Kanto,Regional tower,Kanto landmark
TRANQUILL,Wild Pigeon Pokemon,Gen V Normal/Flying species,Evolves from Pidove,Flying egg-group species,
TRANSFORM,Normal status move,Gen I Normal move,,,
TRANSISTOR,Regieleki's signature Ability,Gen VIII ability,,,
TRAPINCH,Ant Pit Pokemon,Gen III Ground species,Bug egg-group species,,
TRAVELING MAN,regional map location,Gen IV location,,,
TRAVEL TRUNK,Bug-Catching Contest ball,Event-only distribution item,Half-HP recovery berry,National Park contest ball,Pinch-healing berry
TREASURE BEACH,Kanto island,Island in Kanto,Regional island,Island location,
TREECKO,Wood Gecko Pokemon,Gen III Grass species,Monster egg-group species,,
TREVENANT,Elder Tree Pokemon,Gen VI Ghost/Grass species,Evolves from Phantump,Plant egg-group species,
TRIAGE,Comfey's signature Ability,Status-blocking trait,Prevents major status ailments,Ailment-proof trait,priority trait
TRIAL CHAMBER,Unova cave,Cave in Unova,Unova landmark,,
TRI ATTACK,Normal special move,burning move,paralyzing move,Gen I Normal move,80-power move
TRICK,Psychic status move,Gen III Psychic move,,,
TRICK OR TREAT,Ghost status move,Gen VI Ghost move,,,
TRICK ROOM,Psychic status move,Gen IV Psychic move,debuffing move,,
TRI PASS,Unlocks progression content,Tradable exchange item,Progress-gating key item,Exchangeable collectible,Story or event key item
TRIPLE ARROWS,Fighting physical move,critical-hit move,Stat-lowering move,Gen VIII Fighting move,90-power move
TRIPLE AXEL,Ice physical move,Gen VIII Ice move,20-power move,,
TRIPLE DIVE,Water physical move,Gen IX Water move,30-power move,,
TRIPLE KICK,Fighting physical move,Gen II Fighting move,10-power move,,
TROPHY GARDEN,Site on Route 212,Sinnoh route,Sinnoh landmark,Route in Sinnoh,
TROPICAL SHELL,Valuable sellable loot,Vendor treasure,,,
TROPIUS,Fruit Pokemon,Gen III Grass/Flying species,Monster egg-group species,,
TROP KICK,Grass physical move,Gen VII Grass move,70-power move,debuffing move,
TRUANT,Damages sleeping foes,Slakoth And Slaking's signature Ability,Nightmare-causing trait,Sleep-punishing trait,Status-blocking trait
TRUBBISH,Trash Bag Pokemon,Gen V Poison species,Mineral egg-group species,,
TRUMBEAK,Bugle Beak Pokemon,Gen VII Normal/Flying species,Evolves from Pikipek,Flying egg-group species,
TRUMP CARD,Normal special move,Gen IV Normal move,,,
TSAREENA,Fruit Pokemon,Gen VII Grass species,Evolves from Steenee,Plant egg-group species,
TURBOBLAZE,Reshiram And White Kyurem's signature Ability,Gen V ability,,,
TURFFIELD,Galar town,Galar landmark,Town-side landmark,Town in Galar,
TURNBACK CAVE,Sinnoh landmark,Sinnoh cave,,,
TURTONATOR,Dragon Pokemon,Gen VII Blast Turtle Pokemon,Gen VII Fire/Dragon species,Monster egg-group species,
TURTWIG,Tiny Leaf Pokemon,Gen IV Grass species,Monster egg-group species,,
TWIN BEAM,Psychic special move,critical-hit move,Gen IX Psychic move,40-power move,flinch-causing move
TWINEEDLE,Bug physical move,Gen I Bug move,25-power move,poisoning move,
TWINLEAF,Sinnoh town,Sinnoh landmark,Town-side landmark,Town in Sinnoh,
TWISTED SPOON,The Holder'S Psychic-Type Moves By Power boost item,Boosts Psychic moves for The Holder',Psychic-move booster,Signature orb for The Holder',Species-specific power orb
TWISTER,Dragon special move,Gen II Dragon move,40-power move,flinch-causing move,
TWIST MOUNTAIN,Site on Route 7,Unova city,Unova landmark,City in Unova,
TWO ISLAND,Kanto town,Kanto landmark,Town-side landmark,Town in Kanto,
TYMPOLE,Tadpole Pokemon,Gen V Water species,Water1 egg-group species,,
TYNAMO,EleFish Pokemon,Gen V Electric species,Indeterminate egg-group species,,
TYPE NULL,Legendary Pokemon,Gen VII Synthetic Pokemon,No-Eggs egg-group species,,
TYPHLOSION,Volcano Pokemon,Gen II Fire species,Evolves from Quilava,Ground egg-group species,
TYRANITAR,legendary Pokemon,Gen II Armor Pokemon,Mega form turns Rock/Dark,Gen II Rock/Dark species,Evolves from Pupitar
TYRANITARITE,Tyranitar Mega stone,Mega Evolution stone,Held stone for Tyranitar,Held Mega stone,Mega trigger stone
TYRANTRUM,Despot Pokemon,Evolves from Tyrunt,Monster egg-group species,,
TYROGUE,Scuffle Pokemon,No-Eggs egg-group species,,,
TYRUNT,Royal Heir Pokemon,Monster egg-group species,,,
ULAULA BEACH,Alola landmark,,,,
ULAULA MEADOW,Alola landmark,Alola meadow,,,
ULTRA BALL,Used for Kyurem fusion,Safari Zone catcher,Reshiram/Zekrom fusion item,Great Marsh capture tool,Poor on most other targets
ULTRA SPACE,Alola landmark,,,,
UMBREON,Moonlight Pokemon,Gen II Dark species,Evolves from Eevee,Ground egg-group species,
UNAWARE,burning ability,Bidoof And Bibarel's signature Ability,Gen IV ability,,
UNBURDEN,Drifloon And Drifblim's signature Ability,boosting ability,healing ability,,
UNDELLA,Unova town,Unova landmark,Town-side landmark,Town in Unova,
UNDELLA BAY,Unova town,Ancient regional ruins,Unova landmark,Town-side landmark,Town in Unova
UNDELLA GATE,Unova route connector,Unova landmark,Connector gate in Unova,,
UNDERWATER,Ancient regional ruins,Hoenn landmark,,,
UNFEZANT,Proud Pokemon,Evolves from Tranquill,Flying egg-group species,,
UNION CAVE,Ancient regional ruins,Johto landmark,,,
UNITY TOWER,Island location,Unova city,Unova landmark,City in Unova,
UNKNOWN,combat type,battle element,,,
UNNERVE,Gen V ability,switching ability,,,
UNOWN,Symbol Pokemon,Gen II Psychic species,No-Eggs egg-group species,,
UNOWN REPORT,Unlocks progression content,Progress-gating key item,Adventure utility item,,
UNSEEN FIST,Urshifu's signature Ability,protective trait,,,
UP GRADE,Evolution item,,,,
UPPER HAND,Fighting physical move,Gen IX Fighting move,65-power move,flinch-causing move,priority move
UPROAR,Normal special move,Gen III Normal move,90-power move,,
URSALUNA,Peat Pokemon,Gen VIII Peat Pokemon,Evolves from Ursaring,Ground egg-group species,
URSARING,Hibernator Pokemon,Gen II Normal species,Evolves from Teddiursa,Ground egg-group species,
URSAS RING,Hisui landmark,,,,
URSHIFU,Legendary Pokemon,Gen VIII Wushu Pokemon,Evolves from Kubfu,No-Eggs egg-group species,
U TURN,Bug physical move,Gen IV Bug move,70-power move,switching move,
UVA ACADEMY,Paldea landmark,Located in Mesagoza In The Paldea Region,,,
UXIE,Legendary Pokemon,Gen IV Knowledge Pokemon,No-Eggs egg-group species,,
VACUUM WAVE,Fighting special move,Gen IV Fighting move,40-power move,priority move,
VALOR CAVERN,Sinnoh cave,Cave in Sinnoh,Sinnoh landmark,,
VANGUARD,Gen V ability,,,,
VANILLISH,Icy Snow Pokemon,Gen V Ice species,Evolves from Vanillite,Mineral egg-group species,
VANILLITE,Fresh Snow Pokemon,Gen V Ice species,Mineral egg-group species,,
VANILLUXE,Snowstorm Pokemon,Gen V Ice species,Evolves from Vanillish,Mineral egg-group species,
VANIVILLE,Kalos town,Kalos landmark,Town-side landmark,Town in Kalos,
VAPOREON,Bubble Jet Pokemon,Gen I Water species,Evolves from Eevee,Ground egg-group species,
VAROOM,Single-Cyl Pokemon,Gen IX Steel/Poison species,Mineral egg-group species,,
V CREATE,Fire physical move,Gen V Fire move,180-power move,debuffing move,
VEEVEE VOLLEY,Normal physical move,Gen VII Normal move,,,
VEILSTONE,Sinnoh city,Sinnoh landmark,Urban landmark,City in Sinnoh,
VEILSTONE CAPE,Hisui landmark,Located in The Center Of The Cobalt Coastlands Of Hisui,,,
VELUZA,Jettison Pokemon,Gen IX Water/Psychic species,Water2 egg-group species,,
VENIPEDE,Centipede Pokemon,Black avian species,Bug egg-group species,,
VENOM DRENCH,Poison status move,Gen VI Poison move,debuffing move,poisoning move,
VENOMOTH,Poison Moth Pokemon,Gen I Bug/Poison species,Evolves from Venonat,Bug egg-group species,
VENONAT,Insect Pokemon,Gen I Bug/Poison species,Bug egg-group species,,
VENOSHOCK,Poison special move,Gen V Poison move,65-power move,poisoning move,
VENUSAUR,Seed Pokemon,Gen I Grass/Poison species,Evolves from Ivysaur,Mega-evolving species,Monster egg-group species
VENUSAURITE,Venusaur Mega stone,Mega Evolution stone,Held stone for Venusaur,Held Mega stone,Mega trigger stone
VERDANT CAVERN,Site on Route 2,Island location,Alola cave,Alola landmark,Cave in Alola
VERDANTURF,Hoenn town,Hoenn landmark,Town-side landmark,Urban landmark,Town in Hoenn
VERITY CAVERN,Sinnoh cave,Cave in Sinnoh,Sinnoh landmark,,
VERMILION,Island location,Kanto city,Kanto landmark,City in Kanto,
VERSANT ROAD,Kalos route,Town-side landmark,Urban landmark,Route in Kalos,Kalos landmark
VESPIQUEN,Beehive Pokemon,Gen IV Bug/Flying species,Evolves from A,Bug egg-group species,
VESSEL OF RUIN,debuffing trait,,,,
VIAPOS CHAMBER,Kanto landmark,,,,
VIBRAVA,Dragon Pokemon,Gen III Vibration Pokemon,Gen III Ground/Dragon species,Evolves from Trapinch,Bug egg-group species
VICE GRIP,Normal physical move,Gen I Normal move,55-power move,,
VICTINI,Mythical Pokemon,Gen V Victory Pokemon,No-Eggs egg-group species,,
VICTORY DANCE,Fighting status move,Gen VIII Fighting move,0-power move,boosting move,
VICTORY STAR,Victini's signature Ability,Gen V ability,boosting ability,,
VICTREEBEL,Flycatcher Pokemon,Mega form turns Grass/Poison,Gen I Grass/Poison species,Evolves from Weepinbell,Plant egg-group species
VIGOROTH,Wild Monkey Pokemon,Gen III Normal species,Evolves from Slakoth,Ground egg-group species,
VIKAVOLT,Stag Beetle Pokemon,Gen VII Bug/Electric species,Evolves from Charjabug,Bug egg-group species,
VILEPLUME,Flower Pokemon,Gen I Grass/Poison species,Evolves from Gloom,Plant egg-group species,
VILLAGE BRIDGE,Unova town,Unova landmark,Town-side landmark,Town in Unova,
VINE WHIP,Grass physical move,Gen I Grass move,45-power move,,
VIOLET,Urban landmark,,,,
VIOLET BOOK,Unlocks progression content,Event-only key item,Tradable exchange item,Progress-gating key item,Exchangeable collectible
VIRBANK,Unova city,Unova landmark,City in Unova,,
VIRBANK GATE,Unova route connector,Unova landmark,Connector gate in Unova,,
VIRIDIAN,Kanto city,Kanto landmark,City in Kanto,,
VIRIZION,Legendary Pokemon,Gen V Grassland Pokemon,No-Eggs egg-group species,,
VITAL SPIRIT,Gen III ability,protective ability,switching ability,,
VITAL THROW,Fighting physical move,Gen II Fighting move,70-power move,,
VIVILLON,Scale Pokemon,Gen VI Bug/Flying species,Evolves from Spewpa,Bug egg-group species,
VOLBEAT,Firefly Pokemon,Gen III Bug species,Bug egg-group species,,
VOLCANION,Mythical Pokemon,Gen VI Steam Pokemon,No-Eggs egg-group species,,
VOLCARONA,Paradox Pokemon,Gen V Sun Pokemon,Gen V Bug/Fire species,Evolves from Larvesta,Bug egg-group species
VOLT ABSORB,Gen III ability,healing ability,protective ability,,
VOLTORB,Ball Pokemon,Gen I Electric species,Mineral egg-group species,,
VOLT SWITCH,Electric special move,Gen V Electric move,70-power move,switching move,
VOLT TACKLE,Electric physical move,paralyzing move,Gen III Electric move,120-power move,
VS RECORDER,Adventure utility item,,,,
VS SEEKER,Unlocks progression content,Progress-gating key item,Adventure utility item,,
VULLABY,Diapered Pokemon,Gen V Dark/Flying species,Flying egg-group species,,
VULPIX,Fox Pokemon,Gen I Fire species,Ground egg-group species,,
WACAN BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,
WAILMER,Ball Whale Pokemon,Gen III Water species,Ground egg-group species,,
WAILMER PAIL,Unlocks progression content,Progress-gating key item,Adventure utility item,,
WAILORD,Float Whale Pokemon,Gen III Water species,Evolves from Wailmer,Ground egg-group species,
WAKE UP SLAP,Fighting physical move,Gen IV Fighting move,70-power move,,
WALKING WAKE,Paradox Pokemon,No-Eggs egg-group species,,,
WALREIN,Ice Break Pokemon,Gen III Ice/Water species,Evolves from Sealeo,Water1 egg-group species,
